"DATA","MAQUINA","INICIO","FIM","COD_MOTIVO","DESC","GRUPO","OBS"
"2025-11-11","Perfil ""U"" BR200 Regiane","12:10","12:30","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","12:30","13:40","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" BR200 Regiane","13:40","14:30","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","14:30","14:55","TU004","Retirada de Material","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","14:55","15:15","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","15:15","15:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Perfil ""U"" BR200 Regiane","15:30","15:40","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" BR200 Regiane","15:40","16:30","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" BR200 Regiane","16:33","17:33","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","06:20","06:40","RE008","Regulagem-Problema Equipamento","RET",""
"2025-11-11","Perfil ""U"" Marafon","06:40","07:05","TU004","Retirada de Material","TU",""
"2025-11-11","Perfil ""U"" Marafon","07:05","07:20","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-11","Perfil ""U"" Marafon","07:20","07:40","TU004","Retirada de Material","TU",""
"2025-11-11","Perfil ""U"" Marafon","07:40","08:00","IN001","Diálogo de Segurança do Trabalho (DDS)","IND",""
"2025-11-11","Perfil ""U"" Marafon","08:00","08:24","TU001","Produção","TU",""
"2025-11-11","Perfil ""U"" Marafon","08:24","08:36","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-11","Perfil ""U"" Marafon","08:36","08:40","TU001","Produção","TU",""
"2025-11-03","Conformadora de Telhas","15:50","17:33","TU001","Produção","TU",""
"2025-11-03","Conformadora de Telhas","16:10","16:40","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-04","Conformadora de Telhas","11:30","11:50","TU001","Produção","TU",""
"2025-11-04","Conformadora de Telhas","11:50","12:10","TU001","Produção","TU",""
"2025-11-04","Conformadora de Telhas","12:10","13:10","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-04","Conformadora de Telhas","13:10","15:15","TU001","Produção","TU",""
"2025-11-04","Conformadora de Telhas","15:15","15:30","PP006","Refeição (Almoço, Jantar e Lanche)","PP",""
"2025-11-04","Conformadora de Telhas","15:30","15:50","IN007","Treinamento / Reunião Geral","IND",""
"2025-11-04","Conformadora de Telhas","15:50","16:00","TU001","Produção","TU",""
"2025-11-04","Conformadora de Telhas","16:00","17:00","TU002","Carregamento de bobina/matéria prima","IND",""
"2025-11-04","Conformadora de Telhas","06:30","07:10","TU001","Produção","TU",""
"2025-11-04","Conformadora de Telhas","07:10","08:15","TU001","Produção","TU",""
"2025-11-04","Conformadora de Telhas","08:15","11:00","IN007","Treinamento / Reunião Geral","IND",""
"2025-11-04","Conformadora de Telhas","11:00","11:30","TU001","Produção","TU",""
"2025-11-05","Conformadora de Telhas","14:40","15:00","TU001","Produção","TU",""
